     Model         MNDO2020        PYSCF SQM
   AM1 SCF    -348.36341000    -348.36364044
   AM1 EE     -489.85677000    -489.85872136
   AM1 NE      141.49336000     141.49508092

MINDO3 SCF    -341.29866000    -341.29856002
MINDO3 EE     -476.93277000    -476.93266904
MINDO3 NE      135.63411000     135.63410902

  MNDO SCF    -351.04768000    -350.99279975
  MNDO EE     -494.56533000    -494.51225672
  MNDO NE      143.51765000     143.51945696

   PM3 SCF    -324.61246000    -318.85039070
   PM3 EE     -469.85390000    -464.09380102
   PM3 NE      145.24145000     145.24341032

