     Model         MNDO2020        PYSCF SQM
   AM1 SCF    -348.36341000    -348.36536513
   AM1 EE     -489.85677000    -489.85872136
   AM1 NE      141.49336000     141.49335623

MINDO3 SCF    -341.29866000    -341.29736340
MINDO3 EE     -476.93277000    -476.93102981
MINDO3 NE      135.63411000     135.63366641

  MNDO SCF    -351.04768000    -351.04984544
  MNDO EE     -494.56533000    -494.56749543
  MNDO NE      143.51765000     143.51764999

   PM3 SCF    -324.61246000    -324.61447092
   PM3 EE     -469.85390000    -469.85591705
   PM3 NE      145.24145000     145.24144613

