     Model         MNDO2020        PYSCF SQM
   AM1 SCF    -348.36341000       -348.36341    -348.36341105
   AM1 EE     -489.85677000       -489.85677    -489.85676728
   AM1 EE     -489.85677000       -489.85677    -489.85676728
   AM1 NE      141.49336000        141.49336     141.49335623 

MINDO3 SCF    -341.29866000       3213.67144    3213.67143736
MINDO3 EE     -476.93277000       -476.93267    -476.93266904
MINDO3 EE     -476.93277000       -476.93267    -476.93266904
MINDO3 NE      135.63411000       3690.60411    3690.60410640 

  MNDO SCF    -351.04768000       -351.04768    -351.04767949
  MNDO EE     -494.56533000       -494.56533    -494.56532948
  MNDO EE     -494.56533000       -494.56533    -494.56532948
  MNDO NE      143.51765000        143.51765     143.51764999 

   PM3 SCF    -324.61246000       -324.61246    -324.61245553
   PM3 EE     -469.85390000       -469.85390    -469.85390166
   PM3 EE     -469.85390000       -469.85390    -469.85390166
   PM3 NE      145.24145000        145.24145     145.24144613 

