N,sym,U_ss,U_pp,zeta_s,zeta_p,zeta_d,beta_s,beta_p,g_ss,g_sp,g_pp,g_p2,h_sp,alpha,polvom,DD,QQ,AM,AD,AQ
0,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
1,H,-11.9062760,0.0000000,1.3319670,0.0000000,0.0000000,-6.9890640,0.0000000,12.8480000,0.0000000,0.0000000,0.0000000,0.0000000,2.5441341,0.2287000,0.0000000,0.0000000,0.4721793,0.0000000,0.0000000
2,He,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
3,Li,-5.1280000,-2.7212000,0.7023800,0.7023800,0.0000000,-1.3500400,-1.3500400,7.3000000,5.4200000,5.0000000,4.5200000,0.8300000,1.2501400,0.0000000,2.0549783,1.7437069,0.2682837,0.2269793,0.2614581
4,Be,-16.6023780,-10.7037710,1.0042100,1.0042100,0.0000000,-4.0170960,-4.0170960,9.0000000,7.4300000,6.9700000,6.2200000,1.2800000,1.6694340,0.0000000,1.4373245,1.2196103,0.3307607,0.3356142,0.3846373
5,B,-34.5471300,-23.1216900,1.5068010,1.5068010,0.0000000,-8.2520540,-8.2520540,10.5900000,9.5600000,8.8600000,7.8600000,1.8100000,2.1349930,0.0000000,0.9579073,0.8128113,0.3891951,0.4904730,0.5556979
6,C,-52.2797450,-39.2055580,1.7875370,1.7875370,0.0000000,-18.9850440,-7.9341220,12.2300000,11.4700000,11.0800000,9.8400000,2.4300000,2.5463800,0.2647000,0.8074662,0.6851578,0.4494671,0.6149474,0.6685897
7,N,-71.9321220,-57.1723190,2.2556140,2.2556140,0.0000000,-20.4957580,-20.4957580,13.5900000,12.6600000,12.9800000,11.5900000,3.1400000,2.8613420,0.3584000,0.6399037,0.5429763,0.4994487,0.7843643,0.8126445
8,O,-99.6443090,-77.7974720,2.6999050,2.6999050,0.0000000,-32.6880820,-32.6880820,15.4200000,14.4800000,14.5200000,12.9800000,3.9400000,3.1606040,0.2324000,0.5346024,0.4536252,0.5667034,0.9592562,0.9495934
9,F,-131.0715480,-105.7821370,2.8484870,2.8484870,0.0000000,-48.2904660,-36.5085400,16.9200000,17.2500000,16.7100000,14.9100000,4.8300000,3.4196606,0.1982000,0.5067166,0.4299633,0.6218302,1.0850301,1.0343643
10,Ne,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
11,Na,-4.6110000,-2.3643000,0.7338400,0.8295700,0.0000000,-1.1452900,-1.1410100,7.2000000,5.1800000,4.2330000,4.2330000,0.6428000,1.2619400,0.0000000,2.5512603,2.0170933,0.2646086,0.1796950,0.1815009
12,Mg,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
13,Al,-23.8070970,-17.5198780,1.4441610,1.4441610,1.0000000,-2.6702840,-2.6702840,8.0900000,6.6300000,5.9800000,5.4000000,0.7000000,1.8688394,0.0000000,1.3992387,1.1586797,0.2973172,0.2635574,0.3673560
14,Si,-37.0375330,-27.7696780,1.3159860,1.7099430,1.0000000,-9.0868040,-1.0758270,9.8200000,8.3600000,7.3100000,6.5400000,1.3200000,2.2053160,0.0000000,1.2580349,0.9785824,0.3608967,0.3664244,0.4506740
15,P,-56.1433600,-42.8510800,2.1087200,1.7858100,1.0000000,-6.7916000,-6.7916000,11.5600000,10.0800000,8.6400000,7.6800000,1.9200000,2.4152800,0.0000000,1.0129699,0.9370090,0.4248438,0.4882420,0.4979406
16,S,-72.2422810,-56.9732070,2.3129620,2.0091460,1.0000000,-10.7616700,-10.1084330,12.8800000,11.2600000,9.9000000,8.8300000,2.2600000,2.4780260,0.0000000,0.9189935,0.8328514,0.4733554,0.5544502,0.5585244
17,Cl,-100.2271660,-77.3786670,3.7846450,2.0362630,1.0000000,-14.2623200,-14.2623200,15.0300000,13.1600000,11.3000000,9.9700000,2.4200000,2.5422010,1.3236000,0.4986870,0.8217603,0.5523705,0.8061220,0.6053435
18,Ar,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
19,K,-4.0934000,-2.0075000,0.7653000,0.9568000,0.0000000,-0.9405000,-0.9320000,7.1030000,4.9411000,5.8638000,3.9468000,0.4557000,1.2737000,0.0000000,2.8530287,2.2170990,0.2610437,0.1453931,0.3821883
20,Ca,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
21,Sc,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
22,Ti,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
23,V,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
24,Cr,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
25,Mn,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
26,Fe,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
27,Co,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
28,Ni,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
29,Cu,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
30,Zn,-20.8397160,-19.6252240,2.0473590,1.4609460,1.0000000,-1.0000000,-2.0000000,11.8000000,11.1820180,13.3000000,12.9305200,0.4846060,1.5064570,0.0000000,1.3037826,1.4520183,0.4336641,0.2375912,0.2738858
31,Ga,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
32,Ge,-33.9493670,-27.4251050,1.2931800,2.0205640,0.0000000,-4.5164790,-1.7555170,9.8000000,8.3000000,7.3000000,6.5000000,1.3000000,1.9784980,0.0000000,1.2556091,1.0498655,0.3601617,0.3643722,0.4347337
33,As,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
34,Se,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
35,Br,-99.9864405,-75.6713075,3.8543019,2.1992091,1.0000000,-8.9171070,-9.9437400,15.0364395,13.0346824,11.2763254,9.8544255,2.4558683,2.4457051,2.2583000,0.6051090,0.9645833,0.5526071,0.7258329,0.5574631
36,Kr,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
37,Rb,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
38,Sr,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
39,Y,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
40,Zr,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
41,Nb,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
42,Mo,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
43,Tc,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
44,Ru,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
45,Rh,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
46,Pd,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
